what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1438275617437
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1438275618813
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1438275620283
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1438275623101
started,bundle,org.eclipse.pde.core,3.6.1.v20100902_r361,"org.eclipse.pde.core",1438275623228
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1438275623401
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1438275623548
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1438275623584
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1438275623997
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1438275624008
activated,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1438275626067
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1438275626119
activated,view,org.eclipse.help.ui,3.5.2.r36_v20100702,"org.eclipse.help.ui.HelpView",1438275628059
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1438275628076
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1438275629840
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1438275629854
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1438275630720
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1438275638834
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1438275657815
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1438275660793
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1438275667783
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1438275674385
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1438275680379
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1438275680554
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1438275680556
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1438275696072
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1438275709992
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1438275718153
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1438275718164
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1438275720040
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1438275720042
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1438275730089
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1438275735709
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1438275735816
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1438275736020
started,bundle,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.ui",1438275736050
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1438275736067
started,bundle,org.eclipse.wst.common.emf,1.2.1.v201008260500,"org.eclipse.wst.common.emf",1438275736088
started,bundle,org.eclipse.jem.util,2.1.2.v201008120100,"org.eclipse.jem.util",1438275736100
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.2.v201008242000,"org.eclipse.wst.common.emfworkbench.integration",1438275736101
started,bundle,org.eclipse.wst.common.modulecore,1.2.3.v201008242000,"org.eclipse.wst.common.modulecore",1438275736129
started,bundle,org.eclipse.jst.j2ee.core,1.2.2.v201008120100,"org.eclipse.jst.j2ee.core",1438275736133
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1438275736146
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1438275736165
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1438275736175
started,bundle,org.eclipse.jst.j2ee,1.1.402.v201009151730,"org.eclipse.jst.j2ee",1438275736216
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1438275736272
started,bundle,org.eclipse.jst.jsp.core,1.2.302.v201008251735,"org.eclipse.jst.jsp.core",1438275736302
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1438275736500
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1438275736507
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1438275748990
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1438275751388
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1438275751396
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1438275757511
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1438275781680
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1438275782014
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1438275782186
error,log,,,"Invalid ZIP archive: src/lib/google-api-client-1.20.0.jar.properties [in LearnBasics]",1438275784076
error,log,,,"Invalid ZIP archive: src/lib/google-api-client-android-1.20.0.jar.properties [in LearnBasics]",1438275784078
error,log,,,"Invalid ZIP archive: src/lib/google-http-client-1.20.0.jar.properties [in LearnBasics]",1438275784088
error,log,,,"Invalid ZIP archive: src/lib/google-http-client-android-1.20.0.jar.properties [in LearnBasics]",1438275784091
error,log,,,"Invalid ZIP archive: src/lib/google-http-client-gson-1.20.0.jar.properties [in LearnBasics]",1438275784093
error,log,,,"Invalid ZIP archive: src/lib/google-http-client-jackson2-1.20.0.jar.properties [in LearnBasics]",1438275784096
error,log,,,"Invalid ZIP archive: src/lib/google-http-client-jdo-1.20.0.jar.properties [in LearnBasics]",1438275784098
error,log,,,"Invalid ZIP archive: src/lib/google-oauth-client-1.20.0.jar.properties [in LearnBasics]",1438275784103
error,log,,,"Invalid ZIP archive: src/lib/gson-2.1.jar.properties [in LearnBasics]",1438275784109
error,log,,,"Invalid ZIP archive: src/lib/jackson-core-2.1.3.jar.properties [in LearnBasics]",1438275784119
